,#date,stato,#adm1+pcode,#adm1+name,lat,long,ricoverati_con_sintomi,terapia_intensiva,totale_ospedalizzati,isolamento_domiciliare,totale_positivi,variazione_totale_positivi,nuovi_positivi,dimessi_guariti,#affected+infected+dead+total,casi_da_sospetto_diagnostico,casi_da_screening,#affected+infected+confirmed+total,tamponi,casi_testati,note,ingressi_terapia_intensiva,note_test,note_casi
0,2020-02-24T18:00:00,ITA,13,Abruzzo,42.35122196,13.39843823,0,0,0,0,0,0,0,0,0,,,0,5,,,,,
6,2020-02-24T18:00:00,ITA,12,Lazio,41.89277044,12.48366722,1,1,2,0,2,0,2,1,0,,,3,124,,,,,
9,2020-02-24T18:00:00,ITA,11,Marche,43.61675973,13.5188753,0,0,0,0,0,0,0,0,0,,,0,16,,,,,
17,2020-02-24T18:00:00,ITA,9,Toscana,43.76923077,11.25588885,0,0,0,0,0,0,0,0,0,,,0,140,,,,,
18,2020-02-24T18:00:00,ITA,10,Umbria,43.10675841,12.38824698,0,0,0,0,0,0,0,0,0,,,0,0,,,,,
21,2020-02-25T18:00:00,ITA,13,Abruzzo,42.35122196,13.39843823,0,0,0,0,0,0,0,0,0,,,0,5,,,,,
27,2020-02-25T18:00:00,ITA,12,Lazio,41.89277044,12.48366722,1,1,2,0,2,0,0,1,0,,,3,124,,,,,
30,2020-02-25T18:00:00,ITA,11,Marche,43.61675973,13.5188753,0,0,0,0,0,0,0,0,0,,,0,21,,,,,
38,2020-02-25T18:00:00,ITA,9,Toscana,43.76923077,11.25588885,2,0,2,0,2,2,2,0,0,,,2,296,,,,,
39,2020-02-25T18:00:00,ITA,10,Umbria,43.10675841,12.38824698,0,0,0,0,0,0,0,0,0,,,0,8,,,,,
42,2020-02-26T18:00:00,ITA,13,Abruzzo,42.35122196,13.39843823,0,0,0,0,0,0,0,0,0,,,0,13,,,,,
48,2020-02-26T18:00:00,ITA,12,Lazio,41.89277044,12.48366722,0,0,0,0,0,-2,0,3,0,,,3,124,,,,,
51,2020-02-26T18:00:00,ITA,11,Marche,43.61675973,13.5188753,1,0,1,0,1,1,1,0,0,,,1,28,,,,,
59,2020-02-26T18:00:00,ITA,9,Toscana,43.76923077,11.25588885,2,0,2,0,2,0,0,0,0,,,2,363,,,,,
60,2020-02-26T18:00:00,ITA,10,Umbria,43.10675841,12.38824698,0,0,0,0,0,0,0,0,0,,,0,8,,,,,
63,2020-02-27T18:00:00,ITA,13,Abruzzo,42.35122196,13.39843823,1,0,1,0,1,1,1,0,0,,,1,33,,,,,
69,2020-02-27T18:00:00,ITA,12,Lazio,41.89277044,12.48366722,0,0,0,0,0,0,0,3,0,,,3,552,,,,,
72,2020-02-27T18:00:00,ITA,11,Marche,43.61675973,13.5188753,2,1,3,0,3,2,2,0,0,,,3,46,,,,,
80,2020-02-27T18:00:00,ITA,9,Toscana,43.76923077,11.25588885,2,0,2,0,2,0,0,0,0,,,2,410,,,,,
81,2020-02-27T18:00:00,ITA,10,Umbria,43.10675841,12.38824698,0,0,0,0,0,0,0,0,0,,,0,8,,,,,
84,2020-02-28T18:00:00,ITA,13,Abruzzo,42.35122196,13.39843823,1,0,1,0,1,0,0,0,0,,,1,33,,,,,
90,2020-02-28T18:00:00,ITA,12,Lazio,41.89277044,12.48366722,0,0,0,0,0,0,0,3,0,,,3,611,,,,,
